iter	RMSE
0	12.6628789
1	8.588141801
2	6.9728429
3	6.346441401
4	5.997586257
5	5.852719348
6	5.755441258
7	5.719158717
8	5.629664546
9	5.594748957
10	5.574317452
11	5.542361959
12	5.501225699
13	5.49026242
14	5.475100017
15	5.465246179
16	5.454218844
17	5.439171545
18	5.429484946
19	5.423274522
20	5.402249797
21	5.393829198
22	5.386323302
23	5.381208908
24	5.374360331
25	5.371517585
26	5.363957169
27	5.36117609
28	5.357149377
29	5.352432486
30	5.347761558
31	5.345399061
32	5.343575391
33	5.340948966
34	5.336285899
35	5.332409107
36	5.328447166
37	5.327036155
38	5.324763729
39	5.322380547
40	5.321290465
41	5.320137034
42	5.318261989
43	5.317508062
44	5.31610567
45	5.31497546
46	5.314240875
47	5.312935052
48	5.310790116
49	5.309880317
50	5.308835865
51	5.308272969
52	5.306303258
53	5.304214162
54	5.303019158
55	5.301664611
56	5.30002948
57	5.299074123
58	5.298541048
59	5.297917705
60	5.296846112
61	5.295528811
62	5.29478053
63	5.293921967
64	5.293530942
65	5.292409442
66	5.29204159
67	5.290768013
68	5.290266521
69	5.289230402
70	5.289048698
71	5.288692927
72	5.288067028
73	5.284370925
74	5.283892836
75	5.28014281
76	5.27969311
77	5.278945818
78	5.278043323
79	5.277389323
80	5.276535732
81	5.274605993
82	5.274324196
83	5.27403539
84	5.273666892
85	5.272628732
86	5.272243547
87	5.271296814
88	5.270713651
89	5.270454106
90	5.270273154
91	5.27003274
92	5.269441047
93	5.268844252
94	5.268035747
95	5.267575433
96	5.267148103
97	5.266296693
98	5.266076683
99	5.265873282
