iter	Passed	Remaining
0	443	43933
1	757	37131
2	1079	34892
3	1387	33306
4	1669	31724
5	1955	30643
6	2245	29835
7	2598	29883
8	2845	28772
9	3172	28555
10	3434	27791
11	3757	27553
12	4092	27386
13	4416	27129
14	4679	26519
15	5013	26323
16	5330	26023
17	5637	25681
18	5959	25406
19	6263	25052
20	6507	24482
21	6801	24115
22	7093	23747
23	7434	23542
24	7750	23250
25	8042	22889
26	8376	22646
27	8702	22378
28	9011	22063
29	9317	21739
30	9588	21341
31	9898	21034
32	10240	20792
33	10571	20521
34	10882	20210
35	11177	19871
36	11405	19419
37	11731	19141
38	11979	18737
39	12296	18445
40	12588	18115
41	12890	17801
42	13141	17419
43	13498	17179
44	13841	16917
45	14272	16754
46	14681	16555
47	15054	16309
48	15342	15969
49	15654	15654
50	15951	15326
51	16305	15050
52	16685	14796
53	16964	14450
54	17234	14100
55	17487	13740
56	17789	13419
57	18091	13100
58	18382	12774
59	18691	12461
60	19006	12151
61	19242	11794
62	19515	11461
63	19842	11161
64	20125	10836
65	20384	10500
66	20699	10195
67	20933	9851
68	21250	9547
69	21531	9227
70	21841	8921
71	22146	8612
72	22447	8302
73	22740	7990
74	23047	7682
75	23298	7357
76	23548	7033
77	23839	6723
78	24153	6420
79	24453	6113
80	24706	5795
81	24985	5484
82	25314	5184
83	25614	4879
84	25908	4572
85	26176	4261
86	26465	3954
87	26719	3643
88	26965	3332
89	27270	3030
90	27576	2727
91	27894	2425
92	28224	2124
93	28524	1820
94	28815	1516
95	29103	1212
96	29421	909
97	29658	605
98	29979	302
99	30278	0
